model,stratum,method,score_kind,coverage_common,coverage_common_actual,coverage_all,risk_direct,risk_method
llava16,high_acc,m3id,first,0.6,0.6010362694300518,0.58,0.07183908045977011,0.12643678160919541
llava16,high_acc,m3id,first,0.8,0.8013816925734024,0.7733333333333333,0.10344827586206896,0.13577586206896552
llava16,high_acc,m3id,first,1.0,1.0,0.965,0.15544041450777202,0.16407599309153714
llava16,high_acc,dola,first,0.2,0.2003454231433506,0.19333333333333333,0.05172413793103448,0.05172413793103448
llava16,high_acc,dola,first,0.4,0.4006908462867012,0.38666666666666666,0.04310344827586207,0.05603448275862069
llava16,high_acc,dola,first,0.6,0.6010362694300518,0.58,0.07183908045977011,0.07183908045977011
llava16,high_acc,dola,first,0.8,0.8013816925734024,0.7733333333333333,0.10344827586206896,0.10344827586206896
llava16,high_acc,dola,first,1.0,1.0,0.965,0.15544041450777202,0.16062176165803108
llava16,high_acc,deco,first,0.2,0.2003454231433506,0.19333333333333333,0.05172413793103448,0.0603448275862069
llava16,high_acc,deco,first,0.4,0.4006908462867012,0.38666666666666666,0.04310344827586207,0.0603448275862069
llava16,high_acc,deco,first,0.6,0.6010362694300518,0.58,0.07183908045977011,0.07183908045977011
llava16,high_acc,deco,first,0.8,0.8013816925734024,0.7733333333333333,0.10344827586206896,0.09698275862068965
llava16,high_acc,deco,first,1.0,1.0,0.965,0.15544041450777202,0.15716753022452504
internvl4b,low_acc,vcd,sequence,0.2,0.20100502512562815,0.2,0.9833333333333333,0.9583333333333334
internvl4b,low_acc,vcd,sequence,0.4,0.40033500837520936,0.3983333333333333,0.9832635983263598,0.9665271966527197
internvl4b,low_acc,vcd,sequence,0.6,0.6013400335008375,0.5983333333333334,0.9805013927576601,0.9665738161559888
internvl4b,low_acc,vcd,sequence,0.8,0.8006700167504187,0.7966666666666666,0.9769874476987448,0.9644351464435147
