model,stratum,method,score_kind,n,corrected_n,induced_n,acc_direct,acc_method,delta_accuracy,correction_rate,induced_error_rate,delta_accuracy_lo,delta_accuracy_hi,n_common_answers,risk80_direct,risk80_method,delta_risk80,delta_risk80_lo,delta_risk80_hi,decision
llava16,low_acc,vcd,sequence,600,19,6,0.018333333333333333,0.04,0.021666666666666667,0.03225806451612903,0.5454545454545454,0.0033333333333333335,0.04666666666666667,515,0.9927184466019418,0.9660194174757282,-0.02669902912621358,-0.051984010604852,-0.0071428571428571175,no_confirmed_harm_at_primary_budget
llava16,low_acc,m3id,sequence,600,10,1,0.018333333333333333,0.03333333333333333,0.015,0.01697792869269949,0.09090909090909091,-0.0016666666666666668,0.04,515,0.9927184466019418,0.9781553398058253,-0.014563106796116498,-0.037225484675408274,0.0024038461538461453,no_confirmed_harm_at_primary_budget
llava16,low_acc,dola,sequence,600,0,0,0.018333333333333333,0.018333333333333333,0.0,0.0,0.0,0.0,0.0,515,0.9927184466019418,0.9951456310679612,0.0024271844660194164,-0.007042667771333877,0.004739336492890933,no_confirmed_harm_at_primary_budget
llava16,low_acc,deco,sequence,600,2,4,0.018333333333333333,0.015,-0.0033333333333333335,0.003395585738539898,0.36363636363636365,-0.015,0.005,515,0.9927184466019418,0.9902912621359223,-0.0024271844660194164,-0.012135922330097082,0.00716119538277954,no_confirmed_harm_at_primary_budget
llava16,high_acc,vcd,sequence,600,20,55,0.8216666666666667,0.7633333333333333,-0.058333333333333334,0.18691588785046728,0.11156186612576065,-0.09,-0.02666666666666667,579,0.1206896551724138,0.1875,0.0668103448275862,0.021366382373845055,0.10344827586206896,higher_fixed_coverage_risk
llava16,high_acc,m3id,sequence,600,11,15,0.8216666666666667,0.815,-0.006666666666666667,0.102803738317757,0.030425963488843813,-0.03166666666666667,0.02,579,0.1206896551724138,0.15517241379310345,0.034482758620689655,0.012820512820512803,0.056563180827886694,higher_fixed_coverage_risk
llava16,high_acc,dola,sequence,600,0,3,0.8216666666666667,0.8166666666666667,-0.005,0.0,0.006085192697768763,-0.013333333333333334,0.0,579,0.1206896551724138,0.12284482758620689,0.002155172413793094,-0.008889383815887159,0.01978240302743614,no_confirmed_harm_at_primary_budget
llava16,high_acc,deco,sequence,600,2,7,0.8216666666666667,0.8133333333333334,-0.008333333333333333,0.018691588785046728,0.014198782961460446,-0.021666666666666667,0.0033333333333333335,579,0.1206896551724138,0.10775862068965517,-0.012931034482758633,-0.027485599491167096,0.0043963337547408415,no_confirmed_harm_at_primary_budget
llava16,low_acc,vcd,first,600,19,6,0.018333333333333333,0.04,0.021666666666666667,0.03225806451612903,0.5454545454545454,0.0033333333333333335,0.04666666666666667,515,0.9854368932038835,0.9611650485436893,-0.024271844660194164,-0.05426836288279989,-0.0024568519053813943,no_confirmed_harm_at_primary_budget
llava16,low_acc,m3id,first,600,10,1,0.018333333333333333,0.03333333333333333,0.015,0.01697792869269949,0.09090909090909091,-0.0016666666666666668,0.04,515,0.9854368932038835,0.970873786407767,-0.014563106796116498,-0.03866140830847999,0.007194676950747156,no_confirmed_harm_at_primary_budget
llava16,low_acc,dola,first,600,0,0,0.018333333333333333,0.018333333333333333,0.0,0.0,0.0,0.0,0.0,515,0.9854368932038835,0.9854368932038835,0.0,0.0,0.0,no_confirmed_harm_at_primary_budget
