model,condition,file,target_name,status,robust_stable,interval_empty,contains_default,empty_reason,witness_alpha,validation_passed,category
llava16,short32,beignets_eval_038.jpg,Beignets,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,bibimbap_eval_024.jpg,bibimbap,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,bibimbap_eval_024.jpg,Bibimbap,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,bibimbap_eval_044.jpg,bibimbap,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,bibimbap_eval_044.jpg,Bibimbap,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,breakfast_burrito_eval_034.jpg,breakfast burrito,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,breakfast_burrito_eval_034.jpg,Breakfast burrito,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,breakfast_burrito_eval_037.jpg,breakfast burrito,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,breakfast_burrito_eval_037.jpg,Breakfast burrito,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,bruschetta_eval_030.jpg,bruschetta,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,bruschetta_eval_030.jpg,Bruschetta,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,bruschetta_eval_044.jpg,bruschetta,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,bruschetta_eval_044.jpg,Bruschetta,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,ceviche_eval_025.jpg,ceviche,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,ceviche_eval_025.jpg,Ceviche,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,ceviche_eval_030.jpg,ceviche,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,ceviche_eval_030.jpg,Ceviche,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,chicken_curry_eval_025.jpg,chicken curry,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,chicken_curry_eval_025.jpg,Chicken curry,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,short32,chicken_curry_eval_037.jpg,chicken curry,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,chicken_curry_eval_037.jpg,Chicken curry,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,short32,chicken_wings_eval_025.jpg,chicken wings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,chicken_wings_eval_025.jpg,Chicken wings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,chicken_wings_eval_033.jpg,chicken wings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,chicken_wings_eval_033.jpg,Chicken wings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,churros_eval_042.jpg,churros,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,churros_eval_042.jpg,Churros,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,churros_eval_046.jpg,churros,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,churros_eval_046.jpg,Churros,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,club_sandwich_eval_027.jpg,club sandwich,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,club_sandwich_eval_027.jpg,Club sandwich,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,club_sandwich_eval_028.jpg,club sandwich,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,club_sandwich_eval_028.jpg,Club sandwich,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,croque_madame_eval_025.jpg,croque madame,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,croque_madame_eval_025.jpg,Croque madame,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,croque_madame_eval_039.jpg,croque madame,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,croque_madame_eval_039.jpg,Croque madame,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,cup_cakes_eval_032.jpg,cup cakes,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,cup_cakes_eval_032.jpg,Cup cakes,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,cup_cakes_eval_038.jpg,cup cakes,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,short32,cup_cakes_eval_038.jpg,Cup cakes,ok,True,True,False,target_outside_support,,,empty_target_outside_support
