population,model,domain,group,method,n,acc_direct,gap_direct,ece_direct,ece_method,d_ece
class,q4b,food101,deviled_eggs,lcd,24,0.9167,-0.3965,0.3965,0.2871,-0.1093
class,q4b,food101,donuts,lcd,24,0.9167,-0.4001,0.4102,0.3204,-0.0898
class,q4b,food101,dumplings,lcd,24,0.2917,0.0562,0.1734,0.3286,0.1552
class,q4b,food101,edamame,lcd,24,0.9167,-0.1838,0.2474,0.167,-0.0804
class,q4b,food101,eggs_benedict,lcd,24,0.375,0.0078,0.4794,0.462,-0.0173
class,q4b,food101,escargots,lcd,24,0.125,0.176,0.176,0.2318,0.0558
class,q4b,food101,falafel,lcd,24,0.75,-0.1047,0.1613,0.2225,0.0612
class,q4b,food101,filet_mignon,lcd,24,0.0,0.5031,0.5031,0.5613,0.0583
class,q4b,food101,fish_and_chips,lcd,24,0.5417,-0.1053,0.4474,0.1488,-0.2986
class,q4b,food101,foie_gras,lcd,24,0.0,0.3625,0.3625,0.5782,0.2156
class,q4b,food101,french_fries,lcd,24,0.9167,-0.3673,0.3673,0.2092,-0.1581
class,q4b,food101,french_onion_soup,lcd,24,0.8333,-0.2846,0.3414,0.1947,-0.1467
class,q4b,food101,french_toast,lcd,24,0.5,-0.1065,0.1671,0.2284,0.0613
class,q4b,food101,fried_calamari,lcd,24,0.4167,-0.044,0.2928,0.2239,-0.0689
class,q4b,food101,fried_rice,lcd,24,0.9167,-0.4203,0.4322,0.3286,-0.1035
class,q4b,food101,frozen_yogurt,lcd,24,0.25,0.0747,0.1034,0.534,0.4306
class,q4b,food101,garlic_bread,lcd,24,0.5833,-0.2335,0.358,0.1741,-0.1839
class,q4b,food101,gnocchi,lcd,24,0.2083,0.216,0.4032,0.358,-0.0452
class,q4b,food101,greek_salad,lcd,24,0.9167,-0.1626,0.1655,0.2362,0.0708
class,q4b,food101,grilled_cheese_sandwich,lcd,24,0.625,-0.2044,0.3605,0.231,-0.1296
class,q4b,food101,grilled_salmon,lcd,24,0.25,0.2498,0.3497,0.1772,-0.1724
class,q4b,food101,guacamole,lcd,24,0.6667,-0.0723,0.1361,0.2096,0.0735
class,q4b,food101,gyoza,lcd,24,0.125,0.3444,0.3444,0.8574,0.513
class,q4b,food101,hamburger,lcd,24,0.9167,-0.4754,0.4754,0.1706,-0.3049
class,q4b,food101,hot_and_sour_soup,lcd,24,1.0,-0.2601,0.2601,0.423,0.1629
class,q4b,food101,hot_dog,lcd,24,0.9583,-0.3031,0.3274,0.1365,-0.1908
class,q4b,food101,huevos_rancheros,lcd,24,0.0,0.4535,0.4535,0.5382,0.0848
class,q4b,food101,hummus,lcd,24,0.875,-0.2583,0.2837,0.2084,-0.0753
class,q4b,food101,ice_cream,lcd,24,0.6667,-0.104,0.2033,0.3297,0.1264
class,q4b,food101,lasagna,lcd,24,0.5417,-0.1377,0.2128,0.1911,-0.0217
class,q4b,food101,lobster_bisque,lcd,24,0.9583,-0.2222,0.2537,0.6277,0.374
class,q4b,food101,lobster_roll_sandwich,lcd,24,0.7917,-0.3225,0.4352,0.1988,-0.2364
class,q4b,food101,macaroni_and_cheese,lcd,24,0.875,-0.2309,0.2457,0.272,0.0262
class,q4b,food101,macarons,lcd,24,0.5,0.121,0.2923,0.4473,0.155
class,q4b,food101,miso_soup,lcd,24,0.875,-0.2772,0.3152,0.2027,-0.1125
class,q4b,food101,mussels,lcd,24,0.8333,-0.4316,0.4316,0.2134,-0.2181
class,q4b,food101,nachos,lcd,24,0.9583,-0.2113,0.2279,0.0974,-0.1305
class,q4b,food101,omelette,lcd,24,0.4583,0.0494,0.2365,0.2011,-0.0354
class,q4b,food101,onion_rings,lcd,24,1.0,-0.3243,0.3243,0.1157,-0.2086
class,q4b,food101,oysters,lcd,24,0.9167,-0.2281,0.2818,0.2211,-0.0608
class,q4b,food101,pad_thai,lcd,24,0.2083,0.1104,0.2209,0.384,0.1631
class,q4b,food101,paella,lcd,24,0.625,-0.1066,0.1681,0.488,0.3199
class,q4b,food101,pancakes,lcd,24,0.875,-0.3489,0.3681,0.1457,-0.2223
class,q4b,food101,panna_cotta,lcd,24,0.0,0.4376,0.4376,0.6638,0.2262
class,q4b,food101,peking_duck,lcd,24,0.4167,-0.1253,0.1302,0.2607,0.1305
class,q4b,food101,pho,lcd,24,0.0417,0.5958,0.6228,0.4862,-0.1366
class,q4b,food101,pizza,lcd,24,0.9583,-0.3482,0.3482,0.1576,-0.1906
class,q4b,food101,pork_chop,lcd,24,0.2083,0.1948,0.4165,0.3795,-0.037
class,q4b,food101,poutine,lcd,24,0.6667,-0.1948,0.2209,0.2474,0.0265
class,q4b,food101,prime_rib,lcd,24,0.0,0.4201,0.4201,0.5298,0.1097
class,q4b,food101,pulled_pork_sandwich,lcd,24,0.8333,-0.3263,0.3326,0.2116,-0.121
class,q4b,food101,ramen,lcd,24,0.6667,-0.1951,0.2405,0.2642,0.0237
class,q4b,food101,ravioli,lcd,24,0.5417,-0.1427,0.1427,0.2098,0.0671
class,q4b,food101,red_velvet_cake,lcd,24,0.75,-0.2278,0.2994,0.439,0.1396
class,q4b,food101,risotto,lcd,24,0.3333,0.1062,0.2125,0.2849,0.0724
class,q4b,food101,samosa,lcd,24,0.8333,-0.1138,0.1584,0.2246,0.0661
class,q4b,food101,sashimi,lcd,24,0.75,-0.3601,0.3601,0.1689,-0.1912
class,q4b,food101,scallops,lcd,24,0.25,0.2663,0.2663,0.2951,0.0288
class,q4b,food101,seaweed_salad,lcd,24,0.875,-0.4894,0.5357,0.3854,-0.1502
class,q4b,food101,shrimp_and_grits,lcd,24,0.375,0.0314,0.2638,0.3507,0.0869
class,q4b,food101,spaghetti_bolognese,lcd,24,0.9167,-0.3222,0.3576,0.1817,-0.1759
class,q4b,food101,spaghetti_carbonara,lcd,24,1.0,-0.3101,0.3101,0.1489,-0.1613
class,q4b,food101,spring_rolls,lcd,24,0.875,-0.3801,0.3801,0.3061,-0.074
class,q4b,food101,steak,lcd,24,0.5,-0.0324,0.193,0.2083,0.0154
